Group,Strain.Toxin,Host_type,num
Rank4,BT_Cry1Ca16,Orders,1
Rank4,BT_Cry1Ca16,Species,1
Rank4,BT_Cry1Ca2,Orders,1
Rank4,BT_Cry1Ca2,Species,6
Rank4,BT_Cry1Cb1,Orders,1
Rank4,BT_Cry1Cb1,Species,1
Rank4,BT_Cry1Da1,Orders,1
Rank4,BT_Cry1Da1,Species,9
Rank4,BT_Cry1Dd1,Orders,1
Rank4,BT_Cry1Dd1,Species,2
Rank4,BT_Cry1Ea1,Orders,1
Rank4,BT_Cry1Ea1,Species,2
Rank4,BT_Cry1Ea11,Orders,1
Rank4,BT_Cry1Ea11,Species,1
Rank4,BT_Cry1Eb1,Orders,1
Rank4,BT_Cry1Eb1,Species,3
Rank4,BT_Cry1Fa1,Orders,1
Rank4,BT_Cry1Fa1,Species,2
Rank4,BT_Cry1Fb1,Orders,1
Rank4,BT_Cry1Fb1,Species,1
Rank4,BT_Cry1Gb1,Orders,1
Rank4,BT_Cry1Gb1,Species,1
Rank4,BT_Cry1Gc1,Orders,1
Rank4,BT_Cry1Gc1,Species,4
Rank4,BT_Cry1Hb1,Orders,1
Rank4,BT_Cry1Hb1,Species,1
Rank4,BT_Cry1Hc1,Orders,1
Rank4,BT_Cry1Hc1,Species,2
Rank4,BT_Cry1Ia1,Orders,1
Rank4,BT_Cry1Ia1,Species,1
Rank4,BT_Cry1Ia10,Orders,1
Rank4,BT_Cry1Ia10,Species,1
Rank4,BT_Cry1Ia12,Orders,2
Rank4,BT_Cry1Ia12,Species,2
Rank4,BT_Cry1Ia13,Orders,2
Rank4,BT_Cry1Ia13,Species,2
Rank4,BT_Cry1Ia3,Orders,1
Rank4,BT_Cry1Ia3,Species,2
Rank4,BT_Cry1Ia7,Orders,2
Rank4,BT_Cry1Ia7,Species,6
Rank4,BT_Cry1Ia8,Orders,1
Rank4,BT_Cry1Ia8,Species,1
Rank4,BT_Cry1Ib6,Orders,1
Rank4,BT_Cry1Ib6,Species,1
