Group,Accession,Num,Dataset,Mode
par,LBIT-107,2,Strains,soft
par,LBIT-1217,1,Strains,soft
par,LBIT-418,2,Strains,soft
par,LBIT-980,1,Strains,soft
par,LBR2,1,Strains,soft
par,Leapi01,4,Strains,soft
par,Lip,1,Strains,soft
par,LLB6,2,Strains,soft
par,LM1212,4,Strains,soft
par,LM1212-DB,2,Strains,soft
par,LM1212-W3,3,Strains,soft
par,LS-R-21,1,Strains,soft
par,LS-R-30,1,Strains,soft
par,LS5115-3,1,Strains,soft
par,LSZ9408,2,Strains,soft
par,LTS-209,1,Strains,soft
par,LTS-38,1,Strains,soft
par,LTS-7,2,Strains,soft
par,Ly30,2,Strains,soft
par,ly30,4,Strains,soft
par,lyD,1,Strains,soft
par,lyL,1,Strains,soft
par,M100,3,Strains,soft
par,MC28,8,Strains,soft
par,MEB4,1,Strains,soft
par,MHB10.6,1,Strains,soft
par,MHB11.3,1,Strains,soft
par,MHY1.10,1,Strains,soft
par,MHY1.11,1,Strains,soft
par,MnD,1,Strains,soft
par,mo3-E7,1,Strains,soft
par,MOD1_Bc137,3,Strains,soft
par,MOD1_Bc231,2,Strains,soft
par,MOD1_Bc235,3,Strains,soft
par,MOD1_Bc30,3,Strains,soft
par,morrisoni BF190,2,Strains,soft
par,MPU B5,3,Strains,soft
par,MPU B9,2,Strains,soft
par,MS12,7,Strains,soft
par,MSS2.4,1,Strains,soft
par,MSS8.4,1,Strains,soft
par,MYBT18246,3,Strains,soft
par,N17-37,1,Strains,soft
par,N32-2-2,1,Strains,soft
par,NA205-3,4,Strains,soft
par,nags3,1,Strains,soft
par,NAIMCC-B-00167,1,Strains,soft
par,native Chilean Bt strain,1,Strains,soft
par,NB18,1,Strains,soft
par,NBIN-866,13,Strains,soft
par,NEAU 161,1,Strains,soft
par,NEAU B-X5,2,Strains,soft
par,NRD-12,3,Strains,soft
par,NRRL B-18679,2,Strains,soft
par,NRRL B-21940,1,Strains,soft
par,NRRL B-21943,1,Strains,soft
par,NRRL B-21944,1,Strains,soft
par,NT06,3,Strains,soft
par,P01_1,5,Strains,soft
par,P01_3,5,Strains,soft
par,Pasteur Institute Standard strain,3,Strains,soft
par,pMP36,1,Strains,soft
par,pms45-2,1,Strains,soft
par,PS158C2,2,Strains,soft
par,PS167P,1,Strains,soft
par,PS184M1,2,Strains,soft
par,PS198Q7,1,Strains,soft
par,PS80JJ1,1,Strains,soft
par,PS81A2,1,Strains,soft
par,PS81I,3,Strains,soft
par,PS81RR1,1,Strains,soft
par,PS9-C12,2,Strains,soft
par,PS9-D12,1,Strains,soft
par,PS9-E2,1,Strains,soft
par,PT02,3,Strains,soft
par,PT18,5,Strains,soft
par,QB15,3,Strains,soft
par,QBL-27,2,Strains,soft
par,QCL-1,1,Strains,soft
par,QL75-2,1,Strains,soft
par,QWH108,1,Strains,soft
par,QZL144-1,1,Strains,soft
par,QZL144-4,1,Strains,soft
par,QZL183-2,1,Strains,soft
par,QZL20-1,1,Strains,soft
par,QZL26,1,Strains,soft
par,QZL38,4,Strains,soft
par,QZL85,1,Strains,soft
par,R36,1,Strains,soft
par,RIVM BC 934,6,Strains,soft
par,Rpp39,1,Strains,soft
par,S101,1,Strains,soft
par,S1451,1,Strains,soft
par,S2096-2,1,Strains,soft
par,S2160-1,7,Strains,soft
par,S3161-3,1,Strains,soft
par,S601,1,Strains,soft
par,S725,1,Strains,soft
par,S907,1,Strains,soft
par,S93,1,Strains,soft
par,SA11,4,Strains,soft
par,SBSBT-1,1,Strains,soft
par,SC-13,1,Strains,soft
par,SC-51,1,Strains,soft
par,SC-7,1,Strains,soft
par,SC5(D2),1,Strains,soft
par,SC6H8,5,Strains,soft
par,SCG04-02,2,Strains,soft
par,SDS-502,1,Strains,soft
par,sfw-12,1,Strains,soft
par,shanghai 1 (S-1),1,Strains,soft
par,SK-793,1,Strains,soft
par,SK-798,1,Strains,soft
par,SK700,3,Strains,soft
par,SKW01-10.2-06,1,Strains,soft
par,SL39,1,Strains,soft
par,SP-01-41,1,Strains,soft
par,SP41,3,Strains,soft
par,SSy111-c,2,Strains,soft
par,SSy125-c,2,Strains,soft
par,SSy126-c,2,Strains,soft
par,SSy141-c,2,Strains,soft
par,SSy60-b,1,Strains,soft
par,SSy77,2,Strains,soft
par,ST7,2,Strains,soft
par,ST8,3,Strains,soft
par,Staal1-1,5,Strains,soft
par,Staal2-3,3,Strains,soft
par,Staal7-4,3,Strains,soft
par,SVBS18-01,3,Strains,soft
par,SWK1,1,Strains,soft
par,SY27.1,5,Strains,soft
par,SY49-1,3,Strains,soft
par,SY62.1A,1,Strains,soft
par,T01-328,5,Strains,soft
par,T01001,2,Strains,soft
par,T03B001,5,Strains,soft
par,T03C001,1,Strains,soft
par,T04001,1,Strains,soft
par,T07005,6,Strains,soft
par,T07019,7,Strains,soft
par,T07030,6,Strains,soft
par,T07128,4,Strains,soft
par,T07148,7,Strains,soft
par,T07153,6,Strains,soft
par,T07183,6,Strains,soft
par,T25,1,Strains,soft
par,T32,1,Strains,soft
par,T405,1,Strains,soft
par,T414,3,Strains,soft
par,T527,1,Strains,soft
par,T532,1,Strains,soft
par,T536,1,Strains,soft
par,T543,1,Strains,soft
par,T84A1,1,Strains,soft
par,TB08,3,Strains,soft
par,TH19,1,Strains,soft
par,TK1,3,Strains,soft
par,UFT038,3,Strains,soft
par,UV17,1,Strains,soft
par,V4,3,Strains,soft
par,WB2,1,Strains,soft
par,WB9,2,Strains,soft
par,WBT-2,10,Strains,soft
par,WF-H-72,1,Strains,soft
par,wu1E-3,1,Strains,soft
par,wu1E-4,1,Strains,soft
par,wu1H-3,1,Strains,soft
par,wu2B-6,1,Strains,soft
par,wu2G-11,1,Strains,soft
par,wu2G-12,1,Strains,soft
par,WZ-7,1,Strains,soft
par,X-2,1,Strains,soft
par,x023,4,Strains,soft
par,X023PN,3,Strains,soft
par,XL6,7,Strains,soft
par,xpz-5,1,Strains,soft
