ID	Num_tox	Tox_type	Domain	Unknown_type	Dataset
72	1	Recs	domain1	minor	raw_data
72	0	Mins	domain1	minor	raw_data
72	4	Majs	domain1	minor	raw_data
73	1	Recs	domain3	major	filt_partials
73	1	Mins	domain3	major	filt_partials
73	0	Majs	domain3	major	filt_partials
73	1	Recs	domain3	major	raw_data
73	1	Mins	domain3	major	raw_data
73	0	Majs	domain3	major	raw_data
74	1	Recs	domain3	minor	filt_partials
74	0	Mins	domain3	minor	filt_partials
74	1	Majs	domain3	minor	filt_partials
74	1	Recs	domain3	minor	raw_data
74	0	Mins	domain3	minor	raw_data
74	1	Majs	domain3	minor	raw_data
75	1	Recs	domain1	no	filt_partials
75	1	Mins	domain1	no	filt_partials
75	2	Majs	domain1	no	filt_partials
75	1	Recs	domain1	no	raw_data
75	1	Mins	domain1	no	raw_data
75	2	Majs	domain1	no	raw_data
76	1	Recs	domain1	minor	filt_partials
76	0	Mins	domain1	minor	filt_partials
76	1	Majs	domain1	minor	filt_partials
76	1	Recs	domain1	minor	raw_data
76	0	Mins	domain1	minor	raw_data
76	1	Majs	domain1	minor	raw_data
77	7	Recs	domain1	no	filt_partials
77	3	Mins	domain1	no	filt_partials
77	7	Majs	domain1	no	filt_partials
77	7	Recs	domain1	no	raw_data
77	3	Mins	domain1	no	raw_data
77	7	Majs	domain1	no	raw_data
78	1	Recs	domain1	no	filt_partials
78	1	Mins	domain1	no	filt_partials
78	3	Majs	domain1	no	filt_partials
78	1	Recs	domain1	no	raw_data
78	1	Mins	domain1	no	raw_data
78	3	Majs	domain1	no	raw_data
79	2	Recs	domain3	minor	filt_partials
79	0	Mins	domain3	minor	filt_partials
79	2	Majs	domain3	minor	filt_partials
79	2	Recs	domain3	minor	raw_data
79	0	Mins	domain3	minor	raw_data
79	2	Majs	domain3	minor	raw_data
80	1	Recs	domain3	no	filt_partials
80	1	Mins	domain3	no	filt_partials
80	1	Majs	domain3	no	filt_partials
80	1	Recs	domain3	no	raw_data
80	1	Mins	domain3	no	raw_data
80	1	Majs	domain3	no	raw_data
81	2	Recs	domain2	no	filt_partials
81	1	Mins	domain2	no	filt_partials
81	1	Majs	domain2	no	filt_partials
81	2	Recs	domain2	no	raw_data
81	1	Mins	domain2	no	raw_data
81	1	Majs	domain2	no	raw_data
82	1	Recs	domain3	minor	raw_data
82	0	Mins	domain3	minor	raw_data
82	1	Majs	domain3	minor	raw_data
83	1	Recs	domain1	no	raw_data
83	1	Mins	domain1	no	raw_data
83	1	Majs	domain1	no	raw_data
84	1	Recs	domain1	no	filt_partials
84	1	Mins	domain1	no	filt_partials
84	1	Majs	domain1	no	filt_partials
84	1	Recs	domain1	no	raw_data
84	1	Mins	domain1	no	raw_data
84	1	Majs	domain1	no	raw_data
85	2	Recs	domain3	no	raw_data
85	2	Mins	domain3	no	raw_data
85	1	Majs	domain3	no	raw_data
86	1	Recs	domain3	minor	filt_partials
86	0	Mins	domain3	minor	filt_partials
86	1	Majs	domain3	minor	filt_partials
86	1	Recs	domain3	minor	raw_data
86	0	Mins	domain3	minor	raw_data
86	1	Majs	domain3	minor	raw_data
87	2	Recs	domain1	no	filt_partials
87	2	Mins	domain1	no	filt_partials
87	3	Majs	domain1	no	filt_partials
87	2	Recs	domain1	no	raw_data
87	2	Mins	domain1	no	raw_data
87	3	Majs	domain1	no	raw_data
88	2	Recs	domain3	no	raw_data
88	9	Mins	domain3	no	raw_data
88	1	Majs	domain3	no	raw_data
89	1	Recs	domain3	no	filt_partials
89	1	Mins	domain3	no	filt_partials
89	2	Majs	domain3	no	filt_partials
89	1	Recs	domain3	no	raw_data
89	1	Mins	domain3	no	raw_data
89	2	Majs	domain3	no	raw_data
90	4	Recs	domain1	no	raw_data
90	2	Mins	domain1	no	raw_data
90	2	Majs	domain1	no	raw_data
91	1	Recs	domain3	minor	filt_partials
91	0	Mins	domain3	minor	filt_partials
91	4	Majs	domain3	minor	filt_partials
91	1	Recs	domain3	minor	raw_data
91	0	Mins	domain3	minor	raw_data
91	4	Majs	domain3	minor	raw_data
92	1	Recs	domain1	major	filt_partials
92	1	Mins	domain1	major	filt_partials
92	0	Majs	domain1	major	filt_partials
92	1	Recs	domain1	major	raw_data
92	1	Mins	domain1	major	raw_data
92	0	Majs	domain1	major	raw_data
93	1	Recs	domain1	no	raw_data
93	1	Mins	domain1	no	raw_data
93	1	Majs	domain1	no	raw_data
94	1	Recs	domain2	no	filt_partials
94	1	Mins	domain2	no	filt_partials
94	1	Majs	domain2	no	filt_partials
94	1	Recs	domain2	no	raw_data
94	1	Mins	domain2	no	raw_data
94	1	Majs	domain2	no	raw_data
95	1	Recs	domain1	no	filt_partials
95	1	Mins	domain1	no	filt_partials
95	2	Majs	domain1	no	filt_partials
95	1	Recs	domain1	no	raw_data
95	1	Mins	domain1	no	raw_data
95	2	Majs	domain1	no	raw_data
96	1	Recs	domain1	no	filt_partials
96	1	Mins	domain1	no	filt_partials
96	1	Majs	domain1	no	filt_partials
96	1	Recs	domain1	no	raw_data
96	1	Mins	domain1	no	raw_data
96	1	Majs	domain1	no	raw_data
97	1	Recs	domain3	minor	raw_data
97	0	Mins	domain3	minor	raw_data
97	1	Majs	domain3	minor	raw_data
98	2	Recs	domain3	no	filt_partials
98	1	Mins	domain3	no	filt_partials
98	1	Majs	domain3	no	filt_partials
98	2	Recs	domain3	no	raw_data
98	1	Mins	domain3	no	raw_data
98	1	Majs	domain3	no	raw_data
99	2	Recs	domain1	minor	raw_data
99	0	Mins	domain1	minor	raw_data
99	2	Majs	domain1	minor	raw_data
100	2	Recs	domain3	major	raw_data
100	1	Mins	domain3	major	raw_data
100	0	Majs	domain3	major	raw_data
101	1	Recs	domain3	minor	filt_partials
101	0	Mins	domain3	minor	filt_partials
101	1	Majs	domain3	minor	filt_partials
101	1	Recs	domain3	minor	raw_data
101	0	Mins	domain3	minor	raw_data
101	1	Majs	domain3	minor	raw_data
102	1	Recs	domain1	no	raw_data
102	1	Mins	domain1	no	raw_data
102	2	Majs	domain1	no	raw_data
103	1	Recs	domain3	minor	filt_partials
103	0	Mins	domain3	minor	filt_partials
103	2	Majs	domain3	minor	filt_partials
103	1	Recs	domain3	minor	raw_data
103	0	Mins	domain3	minor	raw_data
103	2	Majs	domain3	minor	raw_data
104	1	Recs	domain3	major	filt_partials
104	2	Mins	domain3	major	filt_partials
104	0	Majs	domain3	major	filt_partials
104	1	Recs	domain3	major	raw_data
104	2	Mins	domain3	major	raw_data
104	0	Majs	domain3	major	raw_data
105	1	Recs	domain2	minor	filt_partials
105	0	Mins	domain2	minor	filt_partials
105	2	Majs	domain2	minor	filt_partials
105	1	Recs	domain2	minor	raw_data
105	0	Mins	domain2	minor	raw_data
105	2	Majs	domain2	minor	raw_data
106	1	Recs	domain2	minor	filt_partials
106	0	Mins	domain2	minor	filt_partials
106	1	Majs	domain2	minor	filt_partials
106	1	Recs	domain2	minor	raw_data
106	0	Mins	domain2	minor	raw_data
106	1	Majs	domain2	minor	raw_data
107	1	Recs	domain2	major	filt_partials
107	1	Mins	domain2	major	filt_partials
