Tox_type	Accession	Host_type	Group	Mode	Num_hosts	Trim_flag
ref_no_rec	GCA_002148045.1	Species	Rank3	Assemblies	5	Trimmed
ref_no_rec	GCA_002148045.1	Species	Rank3	Assemblies	5	Untrimmed
ref_no_rec	GCA_001402735.1	Species	Rank3	Assemblies	13	Trimmed
ref_no_rec	GCA_001402735.1	Species	Rank3	Assemblies	13	Untrimmed
ref_no_rec	GCA_002147955.1	Species	Rank3	Assemblies	5	Trimmed
ref_no_rec	GCA_002147955.1	Species	Rank3	Assemblies	5	Untrimmed
ref_no_rec	GCA_000300475.1	Species	Rank3	Assemblies	6	Trimmed
ref_no_rec	GCA_000300475.1	Species	Rank3	Assemblies	6	Untrimmed
ref_no_rec	GCA_004009875.1	Species	Rank3	Assemblies	2	Trimmed
ref_no_rec	GCA_004009875.1	Species	Rank3	Assemblies	2	Untrimmed
ref_no_rec	GCA_002552905.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002552905.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002552985.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_002552985.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002146815.1	Species	Rank3	Assemblies	1	Trimmed
ref_no_rec	GCA_002146815.1	Species	Rank3	Assemblies	1	Untrimmed
ref_no_rec	GCA_000600315.1	Species	Rank3	Assemblies	26	Trimmed
ref_no_rec	GCA_000600315.1	Species	Rank3	Assemblies	73	Untrimmed
ref_no_rec	GCA_001183785.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_001183785.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_002147415.1	Species	Rank3	Assemblies	5	Trimmed
ref_no_rec	GCA_002147415.1	Species	Rank3	Assemblies	5	Untrimmed
ref_no_rec	GCA_000190515.1	Species	Rank3	Assemblies	0	Trimmed
ref_no_rec	GCA_000190515.1	Species	Rank3	Assemblies	0	Untrimmed
ref_no_rec	GCA_004194435.2	Species	Rank3	Assemblies	14	Trimmed
ref_no_rec	GCA_004194435.2	Species	Rank3	Assemblies	14	Untrimmed
ref_no_rec	GCA_001598095.1	Species	Rank3	Assemblies	19	Trimmed
ref_no_rec	GCA_001598095.1	Species	Rank3	Assemblies	64	Untrimmed
rec	GCA_002148015.1	Species	Rank4	Assemblies	0	Trimmed
rec	GCA_002148015.1	Species	Rank4	Assemblies	0	Untrimmed
rec	GCA_002564505.1	Species	Rank4	Assemblies	7	Trimmed
rec	GCA_002564505.1	Species	Rank4	Assemblies	7	Untrimmed
rec	GCA_002571305.1	Species	Rank4	Assemblies	4	Trimmed
rec	GCA_002571305.1	Species	Rank4	Assemblies	4	Untrimmed
rec	GCA_003991175.1	Species	Rank4	Assemblies	7	Trimmed
rec	GCA_003991175.1	Species	Rank4	Assemblies	7	Untrimmed
rec	GCA_000161715.1	Species	Rank4	Assemblies	18	Trimmed
rec	GCA_000161715.1	Species	Rank4	Assemblies	63	Untrimmed
rec	GCA_002558525.1	Species	Rank4	Assemblies	7	Trimmed
rec	GCA_002558525.1	Species	Rank4	Assemblies	7	Untrimmed
rec	GCA_002586085.1	Species	Rank4	Assemblies	4	Trimmed
rec	GCA_002586085.1	Species	Rank4	Assemblies	4	Untrimmed
rec	GCA_002558015.1	Species	Rank4	Assemblies	7	Trimmed
rec	GCA_002558015.1	Species	Rank4	Assemblies	7	Untrimmed
rec	GCA_003626955.1	Species	Rank4	Assemblies	9	Trimmed
rec	GCA_003626955.1	Species	Rank4	Assemblies	9	Untrimmed
rec	GCA_002893515.1	Species	Rank4	Assemblies	9	Trimmed
rec	GCA_002893515.1	Species	Rank4	Assemblies	9	Untrimmed
rec	GCA_002584205.1	Species	Rank4	Assemblies	2	Trimmed
rec	GCA_002584205.1	Species	Rank4	Assemblies	2	Untrimmed
rec	GCA_001595725.1	Species	Rank4	Assemblies	5	Trimmed
rec	GCA_001595725.1	Species	Rank4	Assemblies	5	Untrimmed
rec	GCA_002146315.1	Species	Rank3	Assemblies	26	Trimmed
rec	GCA_002146315.1	Species	Rank3	Assemblies	73	Untrimmed
rec	GCA_002571305.1	Species	Rank3	Assemblies	4	Trimmed
rec	GCA_002571305.1	Species	Rank3	Assemblies	4	Untrimmed
rec	GCA_000161475.1	Species	Rank3	Assemblies	0	Trimmed
rec	GCA_000161475.1	Species	Rank3	Assemblies	0	Untrimmed
rec	GCA_003991175.1	Species	Rank3	Assemblies	7	Trimmed
rec	GCA_003991175.1	Species	Rank3	Assemblies	7	Untrimmed
rec	GCA_002146405.1	Species	Rank3	Assemblies	28	Trimmed
rec	GCA_002146405.1	Species	Rank3	Assemblies	28	Untrimmed
rec	GCA_000161715.1	Species	Rank3	Assemblies	18	Trimmed
rec	GCA_000161715.1	Species	Rank3	Assemblies	63	Untrimmed
rec	GCA_002564505.1	Species	Rank3	Assemblies	7	Trimmed
rec	GCA_002564505.1	Species	Rank3	Assemblies	7	Untrimmed
rec	GCA_002558015.1	Species	Rank3	Assemblies	7	Trimmed
rec	GCA_002558015.1	Species	Rank3	Assemblies	7	Untrimmed
rec	GCA_002147375.1	Species	Rank3	Assemblies	26	Trimmed
rec	GCA_002147375.1	Species	Rank3	Assemblies	73	Untrimmed
rec	GCA_002148015.1	Species	Rank3	Assemblies	0	Trimmed
rec	GCA_002148015.1	Species	Rank3	Assemblies	0	Untrimmed
rec	GCA_002146615.1	Species	Rank3	Assemblies	14	Trimmed
rec	GCA_002146615.1	Species	Rank3	Assemblies	14	Untrimmed
rec	GCA_001182785.1	Species	Rank3	Assemblies	5	Trimmed
rec	GCA_001182785.1	Species	Rank3	Assemblies	5	Untrimmed
rec	GCA_000774075.2	Species	Rank3	Assemblies	0	Trimmed
rec	GCA_000774075.2	Species	Rank3	Assemblies	0	Untrimmed
rec	GCA_002147055.1	Species	Rank3	Assemblies	4	Trimmed
rec	GCA_002147055.1	Species	Rank3	Assemblies	4	Untrimmed
rec	GCA_004354265.1	Species	Rank3	Assemblies	14	Trimmed
rec	GCA_004354265.1	Species	Rank3	Assemblies	14	Untrimmed
rec	GCA_003626955.1	Species	Rank3	Assemblies	9	Trimmed
rec	GCA_003626955.1	Species	Rank3	Assemblies	9	Untrimmed
rec	GCA_002584205.1	Species	Rank3	Assemblies	2	Trimmed
rec	GCA_002584205.1	Species	Rank3	Assemblies	2	Untrimmed
rec	GCA_002147085.1	Species	Rank3	Assemblies	26	Trimmed
rec	GCA_002147085.1	Species	Rank3	Assemblies	73	Untrimmed
rec	GCA_000161555.1	Species	Rank3	Assemblies	3	Trimmed
rec	GCA_000161555.1	Species	Rank3	Assemblies	3	Untrimmed
rec	GCA_000878525.1	Species	Rank3	Assemblies	3	Trimmed
rec	GCA_000878525.1	Species	Rank3	Assemblies	3	Untrimmed
rec	GCA_000292705.1	Species	Rank3	Assemblies	14	Trimmed
rec	GCA_000292705.1	Species	Rank3	Assemblies	14	Untrimmed
rec	GCA_001968805.1	Species	Rank3	Assemblies	4	Trimmed
rec	GCA_001968805.1	Species	Rank3	Assemblies	4	Untrimmed
rec	GCA_000468995.3	Species	Rank3	Assemblies	2	Trimmed
rec	GCA_000468995.3	Species	Rank3	Assemblies	73	Untrimmed
rec	GCA_002558525.1	Species	Rank3	Assemblies	7	Trimmed
rec	GCA_002558525.1	Species	Rank3	Assemblies	7	Untrimmed
rec	GCA_002586085.1	Species	Rank3	Assemblies	4	Trimmed
rec	GCA_002586085.1	Species	Rank3	Assemblies	4	Untrimmed
rec	GCA_001685565.1	Species	Rank3	Assemblies	3	Trimmed
rec	GCA_001685565.1	Species	Rank3	Assemblies	3	Untrimmed
rec	GCA_002893515.1	Species	Rank3	Assemblies	9	Trimmed
rec	GCA_002893515.1	Species	Rank3	Assemblies	9	Untrimmed
rec	GCA_002147105.1	Species	Rank3	Assemblies	26	Trimmed
rec	GCA_002147105.1	Species	Rank3	Assemblies	73	Untrimmed
rec	GCA_001595725.1	Species	Rank3	Assemblies	5	Trimmed
rec	GCA_001595725.1	Species	Rank3	Assemblies	5	Untrimmed
rec	GCA_002146425.1	Species	Rank3	Assemblies	28	Trimmed
rec	GCA_002146425.1	Species	Rank3	Assemblies	28	Untrimmed
rec	GCA_001402735.1	Species	Rank3	Assemblies	13	Trimmed
rec	GCA_001402735.1	Species	Rank3	Assemblies	13	Untrimmed
rec	GCA_003546665.1	Species	Rank3	Assemblies	1	Trimmed
rec	GCA_003546665.1	Species	Rank3	Assemblies	1	Untrimmed
rec	GCA_000600315.1	Species	Rank3	Assemblies	26	Trimmed
rec	GCA_000600315.1	Species	Rank3	Assemblies	73	Untrimmed
rec	GCA_004194435.2	Species	Rank3	Assemblies	14	Trimmed
rec	GCA_004194435.2	Species	Rank3	Assemblies	14	Untrimmed
par_strict	GCA_002148015.1	Species	Rank4	Assemblies	0	Trimmed
par_strict	GCA_002148015.1	Species	Rank4	Assemblies	0	Untrimmed
par_strict	GCA_002576585.1	Species	Rank4	Assemblies	7	Trimmed
par_strict	GCA_002576585.1	Species	Rank4	Assemblies	17	Untrimmed
par_strict	GCA_002550215.1	Species	Rank4	Assemblies	0	Trimmed
par_strict	GCA_002550215.1	Species	Rank4	Assemblies	15	Untrimmed
par_strict	GCA_002564505.1	Species	Rank4	Assemblies	7	Trimmed
par_strict	GCA_002564505.1	Species	Rank4	Assemblies	7	Untrimmed
par_strict	GCA_002571305.1	Species	Rank4	Assemblies	4	Trimmed
par_strict	GCA_002571305.1	Species	Rank4	Assemblies	4	Untrimmed
par_strict	GCA_003546665.1	Species	Rank4	Assemblies	1	Trimmed
par_strict	GCA_003546665.1	Species	Rank4	Assemblies	1	Untrimmed
par_strict	GCA_002586085.1	Species	Rank4	Assemblies	4	Trimmed
par_strict	GCA_002586085.1	Species	Rank4	Assemblies	4	Untrimmed
par_strict	GCA_002558525.1	Species	Rank4	Assemblies	7	Trimmed
par_strict	GCA_002558525.1	Species	Rank4	Assemblies	7	Untrimmed
par_strict	GCA_001685565.1	Species	Rank4	Assemblies	3	Trimmed
par_strict	GCA_001685565.1	Species	Rank4	Assemblies	3	Untrimmed
par_strict	GCA_002558015.1	Species	Rank4	Assemblies	7	Trimmed
par_strict	GCA_002558015.1	Species	Rank4	Assemblies	7	Untrimmed
