Strain	Num	Rank
BGSC 4J2	5	Rank4
BGSC 4J2	5	Rank3
ARP262	1	Rank4
ARP262	1	Rank3
Bt4	1	Rank4
Bt4	1	Rank3
WB9	2	Rank4
WB9	2	Rank3
ARP162	1	Rank4
ARP162	1	Rank3
E-1B	1	Rank4
E-1B	1	Rank3
ARP104	1	Rank4
ARP104	1	Rank3
BMB3201	4	Rank4
BMB3201	4	Rank3
T01-328	5	Rank4
T01-328	5	Rank3
ARP013	1	Rank4
ARP013	1	Rank3
JF19-2	1	Rank4
JF19-2	1	Rank3
Kenyae 4a4c	1	Rank4
Kenyae 4a4c	1	Rank3
X-2	1	Rank4
X-2	1	Rank3
BT HMM-SLK	1	Rank4
BT HMM-SLK	1	Rank3
BT HMM-SITAB	1	Rank4
BT HMM-SITAB	1	Rank3
ARP174	1	Rank4
ARP174	1	Rank3
WZ-7	1	Rank4
WZ-7	1	Rank3
YWC2-8	2	Rank4
YWC2-8	2	Rank3
PS81GG	1	Rank4
PS81GG	1	Rank3
HD-549	1	Rank4
HD-549	1	Rank3
T30001	2	Rank4
T30001	2	Rank3
KBAB4	1	Rank4
KBAB4	1	Rank3
BGSC 4AD1	1	Rank4
BGSC 4AD1	1	Rank3
BGSC 4AG1	1	Rank4
BGSC 4AG1	1	Rank3
LS-R-21	1	Rank4
LS-R-21	1	Rank3
ARP168	1	Rank4
ARP168	1	Rank3
B5	1	Rank4
B5	1	Rank3
M019	3	Rank4
M019	3	Rank3
Bt18247	1	Rank4
Bt18247	1	Rank3
SC5(E8)	1	Rank4
SC5(E8)	1	Rank3
BR64	1	Rank4
BR64	1	Rank3
BfR-BA-01317	1	Rank4
BfR-BA-01317	1	Rank3
BGSC 4A4	1	Rank4
BGSC 4A4	1	Rank3
4D3	1	Rank4
4D3	1	Rank3
4A1	2	Rank4
4A1	2	Rank3
T01001	2	Rank4
T01001	2	Rank3
S601	2	Rank4
S601	1	Rank3
NA205-3	4	Rank4
NA205-3	4	Rank3
G25-85	1	Rank4
G25-85	1	Rank3
G25-76	1	Rank4
G25-76	1	Rank3
601	1	Rank4
601	1	Rank3
ATCC 10792	3	Rank4
ATCC 10792	2	Rank3
sfw-12	1	Rank4
sfw-12	1	Rank3
HD-2	2	Rank4
HD-2	2	Rank3
BfR-BA-01312	1	Rank4
BfR-BA-01312	1	Rank3
4A2	2	Rank4
4A2	2	Rank3
ATCC 14706	1	Rank4
