ID	Rec_num	Par_num	Comon_num	Coeff	Dataset	Par_type
0	1	4	1.0	Par_coeff	Assemblies	All
2	1	37	0.0	Jaccard	Assemblies	Strict
2	1	37	0.0	Simpson	Assemblies	Strict
2	1	37	0.0	Braun	Assemblies	Strict
2	1	37	0.0	Rec_coeff	Assemblies	Strict
2	1	37	0.5405405405405406	Par_coeff	Assemblies	Strict
2	1	44	0.0	Jaccard	Assemblies	All
2	1	44	0.0	Simpson	Assemblies	All
2	1	37	0.0	Braun	Assemblies	All
2	1	37	0.0	Rec_coeff	Assemblies	All
2	1	37	0.8409090909090909	Par_coeff	Assemblies	All
3	1	3	0.0	Jaccard	Assemblies	Strict
3	1	3	0.0	Simpson	Assemblies	Strict
3	1	3	0.0	Braun	Assemblies	Strict
3	1	3	0.0	Rec_coeff	Assemblies	Strict
3	1	3	0.0	Par_coeff	Assemblies	Strict
3	1	3	0.0	Jaccard	Assemblies	All
3	1	3	0.0	Simpson	Assemblies	All
3	1	3	0.0	Braun	Assemblies	All
3	1	3	0.0	Rec_coeff	Assemblies	All
3	1	3	0.0	Par_coeff	Assemblies	All
6	1	2	0.0	Jaccard	Assemblies	Strict
6	1	2	0.0	Simpson	Assemblies	Strict
6	1	2	0.0	Braun	Assemblies	Strict
6	1	2	0.0	Rec_coeff	Assemblies	Strict
6	1	2	0.0	Par_coeff	Assemblies	Strict
6	1	2	0.0	Jaccard	Assemblies	All
6	1	2	0.0	Simpson	Assemblies	All
6	1	2	0.0	Braun	Assemblies	All
6	1	2	0.0	Rec_coeff	Assemblies	All
6	1	2	0.0	Par_coeff	Assemblies	All
8	9	17	0.5294117647058824	Jaccard	Assemblies	Strict
8	9	17	1.0	Simpson	Assemblies	Strict
8	9	17	0.5294117647058824	Braun	Assemblies	Strict
8	9	17	1.0	Rec_coeff	Assemblies	Strict
8	9	17	0.0	Par_coeff	Assemblies	Strict
8	9	17	0.5294117647058824	Jaccard	Assemblies	All
8	9	17	1.0	Simpson	Assemblies	All
8	9	17	0.5294117647058824	Braun	Assemblies	All
8	9	17	1.0	Rec_coeff	Assemblies	All
8	9	17	0.0	Par_coeff	Assemblies	All
10	1	2	0.0	Jaccard	Assemblies	Strict
10	1	2	0.0	Simpson	Assemblies	Strict
10	1	2	0.0	Braun	Assemblies	Strict
10	1	2	0.0	Rec_coeff	Assemblies	Strict
10	1	2	0.0	Par_coeff	Assemblies	Strict
10	1	2	0.0	Jaccard	Assemblies	All
10	1	2	0.0	Simpson	Assemblies	All
10	1	2	0.0	Braun	Assemblies	All
10	1	2	0.0	Rec_coeff	Assemblies	All
10	1	2	0.0	Par_coeff	Assemblies	All
13	1	10	0.0	Jaccard	Assemblies	Strict
13	1	10	0.0	Simpson	Assemblies	Strict
13	1	10	0.0	Braun	Assemblies	Strict
13	1	10	0.0	Rec_coeff	Assemblies	Strict
13	1	10	0.0	Par_coeff	Assemblies	Strict
13	1	10	0.0	Jaccard	Assemblies	All
13	1	10	0.0	Simpson	Assemblies	All
13	1	10	0.0	Braun	Assemblies	All
13	1	10	0.0	Rec_coeff	Assemblies	All
13	1	10	0.0	Par_coeff	Assemblies	All
14	13	13	0.08333333333333333	Jaccard	Assemblies	Strict
14	13	13	0.15384615384615385	Simpson	Assemblies	Strict
14	13	13	0.15384615384615385	Braun	Assemblies	Strict
14	13	13	0.15384615384615385	Rec_coeff	Assemblies	Strict
14	13	13	0.0	Par_coeff	Assemblies	Strict
14	13	13	0.08333333333333333	Jaccard	Assemblies	All
14	13	13	0.15384615384615385	Simpson	Assemblies	All
14	13	13	0.15384615384615385	Braun	Assemblies	All
14	13	13	0.15384615384615385	Rec_coeff	Assemblies	All
14	13	13	0.0	Par_coeff	Assemblies	All
17	6	21	0.038461538461538464	Jaccard	Assemblies	Strict
