ID	Rec_domain	Curr_domain	Tox_type	unknown_flag	evol_type	signif_flag	omega_b	omega_f	Num_tox	Num_rec_pars	Num_recs_pars_all	best_site_model	Sites_pos	Sites_cons	Sites_rel	Best_branc_site	Brsites_pos	Brsites_cons	Brsites_rel	Passed_flag	Orders_flag	Simpson_species
39	domain3	domain2	Rec	known	non-signif	signif	0.23800000000000002	1.252	16	1	3	positive	1	12	0	mB	1	55	0	passed	NA	NA
39	domain3	domain2	Par	known	purifying	non-signif	0.244	0.278	16	2	3	positive	1	12	0	mB	1	74	0	passed	NA	NA
44	domain3	domain3	Rec	known	non-signif	non-signif	0.38299999999999995	0.46299999999999997	15	1	2	relaxation	0	0	1	mB	3	30	0	passed	Same	0.6666666666666666
44	domain3	domain3	Par	known	non-signif	non-signif	0.382	0.556	15	1	2	relaxation	0	0	1	mB	0	27	0	passed	Same	0.6666666666666666
44	domain3	domain1	Rec	known	purifying	non-signif	0.179	0.18100000000000002	11	1	3	relaxation	0	0	1	mB	0	46	0	passed	Same	0.6666666666666666
44	domain3	domain1	Par	known	purifying	non-signif	0.176	0.209	11	2	3	relaxation	0	0	1	mB	1	49	0	passed	Same	0.6666666666666666
44	domain3	domain2	Rec	known	purifying	non-signif	0.201	0.183	8	1	3	positive	0	0	0	mB	1	24	0	passed	Same	0.6666666666666666
44	domain3	domain2	Par	known	purifying	non-signif	0.205	0.176	8	2	3	positive	0	0	0	mB	0	94	0	not_passed	Same	0.6666666666666666
45	domain1	domain1	Rec	known	positive	signif	0.893	99.0	10	1	2	positive	17	0	0	mB	0	47	0	passed	NA	NA
45	domain1	domain1	Par	known	non-signif	non-signif	0.932	0.303	10	1	2	positive	17	0	0	mB	225	0	0	not_passed	NA	NA
45	domain1	domain2	Rec	known	non-signif	non-signif	1.161	0.467	10	1	4	positive	35	0	0	mB	213	0	0	not_passed	NA	NA
45	domain1	domain3	Rec	major	non-signif	non-signif	0.639	0.48	12	1	1	positive	19	0	0	mB	0	5	0	passed	NA	NA
47	domain1	domain1	Rec	known	purifying	signif	0.239	0.0	31	1	6	positive	2	0	0	mB	157	0	0	not_passed	NA	NA
47	domain1	domain1	Par	known	non-signif	signif	0.223	99.0	31	5	6	positive	2	0	0	mB	4	39	0	passed	NA	NA
47	domain1	domain2	Rec	known	non-signif	non-signif	0.33899999999999997	0.0	32	1	6	positive	0	0	0	mB	236	0	0	not_passed	NA	NA
47	domain1	domain2	Par	known	purifying	non-signif	0.343	0.184	32	5	6	positive	0	0	0	mB	0	0	0	passed	NA	NA
47	domain1	domain3	Rec	known	non-signif	non-signif	0.174	0.397	31	1	5	non-signif	0	15	0	mB	151	0	0	not_passed	NA	NA
47	domain1	domain3	Par	known	non-signif	non-signif	0.176	0.099	31	4	5	non-signif	0	15	0	mB	151	0	0	not_passed	NA	NA
49	domain3	domain3	Rec	known	purifying	non-signif	0.21899999999999997	0.09699999999999999	9	1	2	relaxation	0	0	1	mB	140	0	0	not_passed	Same	0.5
49	domain3	domain3	Par	known	purifying	non-signif	0.186	0.181	9	1	2	relaxation	0	0	1	mB	0	18	0	passed	Same	0.5
49	domain3	domain1	Rec	known	purifying	non-signif	0.204	0.301	8	1	2	non-signif	0	0	0	mB	0	63	0	passed	Same	0.5
49	domain3	domain1	Par	known	purifying	non-signif	0.215	0.048	8	1	2	non-signif	0	0	0	mB	209	0	0	not_passed	Same	0.5
49	domain3	domain2	Rec	known	non-signif	non-signif	0.37200000000000005	0.518	9	1	2	positive	1	0	0	mB	0	0	0	passed	Same	0.5
49	domain3	domain2	Par	known	non-signif	non-signif	0.371	0.508	9	1	2	positive	1	0	0	mB	0	0	0	passed	Same	0.5
51	domain3	domain3	Rec	known	non-signif	non-signif	0.309	1.004	7	1	2	positive	3	0	0	mB	4	0	0	passed	Different	1.0
51	domain3	domain3	Par	known	non-signif	non-signif	0.317	0.729	7	1	2	positive	3	0	0	mB	5	45	0	passed	Different	1.0
51	domain3	domain1	Rec	known	non-signif	non-signif	0.207	0.231	8	1	2	relaxation	0	0	1	mB	201	0	0	not_passed	Different	1.0
51	domain3	domain1	Par	known	non-signif	non-signif	0.201	0.291	8	1	2	relaxation	0	0	1	mB	0	0	0	passed	Different	1.0
51	domain3	domain2	Rec	known	purifying	non-signif	0.366	0.203	7	1	2	positive	1	0	0	mB	0	0	0	passed	Different	1.0
51	domain3	domain2	Par	known	purifying	non-signif	0.367	0.281	7	1	2	positive	1	0	0	mB	0	22	0	passed	Different	1.0
52	domain3	domain3	Rec	known	purifying	non-signif	0.313	0.415	10	1	4	relaxation	0	0	1	mB	2	1	0	passed	Different	0.0
